127.0.0.1, 2022-12-14 23:48:36, GET, /admin/static/_2.22.5/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.009973
127.0.0.1, 2022-12-14 23:48:36, GET, /admin/static/_2.22.5/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.038896
127.0.0.1, 2022-12-14 23:48:36, GET, /admin/static/_2.22.5/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.027925
127.0.0.1, 2022-12-14 23:48:37, GET, /admin/static/_2.22.5/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.068815
127.0.0.1, 2022-12-14 23:48:37, GET, /admin/static/_2.22.5/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.075796
127.0.0.1, 2022-12-14 23:48:37, GET, /admin/static/_2.22.5/js/ajax_editor.js, HTTP/1.1, 200, 0.071808
127.0.0.1, 2022-12-14 23:48:37, GET, /admin/static/_2.22.5/codemirror/emmet.min.js, HTTP/1.1, 200, 0.078789
127.0.0.1, 2022-12-14 23:48:37, GET, /admin/static/_2.22.5/js/typeahead.min.js, HTTP/1.1, 200, 0.076794
127.0.0.1, 2022-12-14 23:48:37, GET, /admin/static/_2.22.5/images/files_toggle.png, HTTP/1.1, 200, 0.023936
127.0.0.1, 2022-12-14 23:48:37, GET, /admin/static/_2.22.5/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.026927
127.0.0.1, 2022-12-14 23:48:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-12-14 23:48:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.066077
127.0.0.1, 2022-12-14 23:48:37, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.100985
127.0.0.1, 2022-12-14 23:48:37, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.134407
127.0.0.1, 2022-12-14 23:48:37, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.165323
127.0.0.1, 2022-12-14 23:48:37, GET, /admin/static/_2.22.5/images/save_icon.png, HTTP/1.1, 200, 0.011969
127.0.0.1, 2022-12-14 23:48:37, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.203221
127.0.0.1, 2022-12-14 23:48:37, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.164070
127.0.0.1, 2022-12-14 23:48:40, GET, /welcome/default/index, HTTP/1.1, 200, 0.126714
127.0.0.1, 2022-12-14 23:48:46, GET, /welcome/appadmin/index, HTTP/1.1, 200, 0.193531
127.0.0.1, 2022-12-14 23:48:47, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.623600
127.0.0.1, 2022-12-14 23:49:02, GET, /welcome/appadmin/index, HTTP/1.1, 200, 0.177577
127.0.0.1, 2022-12-14 23:49:03, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.658237
127.0.0.1, 2022-12-14 23:49:15, GET, /welcome/default/index, HTTP/1.1, 200, 0.125256
127.0.0.1, 2022-12-14 23:49:58, GET, /admin/default/site, HTTP/1.1, 200, 0.035903
127.0.0.1, 2022-12-14 23:49:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-12-14 23:49:59, GET, /pymedisenm/default/index, HTTP/1.1, 500, 0.381597
127.0.0.1, 2022-12-14 23:49:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000998
127.0.0.1, 2022-12-14 23:51:00, GET, /pymedisenm/default/index, HTTP/1.1, 500, 0.395452
127.0.0.1, 2022-12-14 23:51:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000998
127.0.0.1, 2022-12-14 23:51:17, GET, /admin/default/site, HTTP/1.1, 200, 0.188056
127.0.0.1, 2022-12-14 23:51:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000998
127.0.0.1, 2022-12-14 23:51:23, GET, /admin/default/design/pymedisenm, HTTP/1.1, 200, 0.647169
127.0.0.1, 2022-12-14 23:51:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000997
127.0.0.1, 2022-12-14 23:51:25, GET, /pymedisenm/appadmin/index, HTTP/1.1, 500, 0.377126
127.0.0.1, 2022-12-14 23:51:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000998
127.0.0.1, 2022-12-14 23:51:27, GET, /admin/default/design/pymedisenm, HTTP/1.1, 200, 0.599592
127.0.0.1, 2022-12-14 23:51:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000997
127.0.0.1, 2022-12-14 23:51:32, GET, /admin/default/peek/pymedisenm/models/db.py, HTTP/1.1, 200, 0.025465
127.0.0.1, 2022-12-14 23:51:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-12-14 23:51:41, GET, /admin/default/edit/pymedisenm/models/db.py, HTTP/1.1, 200, 0.019897
127.0.0.1, 2022-12-14 23:51:42, GET, /admin/default/edit/pymedisenm/models/db.py, HTTP/1.1, 200, 0.034906
127.0.0.1, 2022-12-14 23:51:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-12-14 23:51:42, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.192484
127.0.0.1, 2022-12-14 23:51:42, GET, /pymedisenm/appadmin/hooks, HTTP/1.1, 500, 0.503428
127.0.0.1, 2022-12-14 23:51:42, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.473507
127.0.0.1, 2022-12-14 23:51:42, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.524373
127.0.0.1, 2022-12-14 23:51:42, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.537338
127.0.0.1, 2022-12-14 23:51:58, POST, /admin/default/edit/pymedisenm/models/db.py, HTTP/1.1, 200, 0.070811
127.0.0.1, 2022-12-14 23:52:02, GET, /admin/default/peek/pymedisenm/models/db.py, HTTP/1.1, 200, 0.166087
127.0.0.1, 2022-12-14 23:52:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000996
